Soil_Temperature (°C),Soil_Moisture (%),Air_Temperature (°C),Air_Humidity (%),Paddy_Growth_Stage,Recommended_Fertilizer,Quantity_kg_per_acre,Purpose,Sustainability_Note
28.6,28.5,34.3,78.1,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
32.5,31,31.9,83.7,Panicle Initiation,DAP,25.2,Phosphorus for root development,Avoid chemical overuse; combine with compost.
24,61.9,31.9,77.9,Flowering,MOP,23.1,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
30.5,56.5,27.5,66,Harvest,Organic Compost,14.8,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
31.1,37.2,32.9,64.6,Harvest,Organic Compost,14.4,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
22.4,55.4,27.9,71.8,Harvest,Organic Compost,16.2,Improves soil structure and moisture retention,Ensure soil testing before application.
22.4,42,32.3,87,Panicle Initiation,Urea,18.1,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
33.4,72.5,27.1,81,Flowering,Zinc Sulphate,10,Improves grain quality and resistance,Use split application to reduce leaching.
28.5,50.4,28.5,93.6,Flowering,Zinc Sulphate,9.5,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
26.3,65.1,28.7,68.6,Flowering,Zinc Sulphate,9.9,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
22.5,49.5,29.9,90.8,Harvest,Organic Compost,14.2,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
28.8,26.5,32.7,80.2,Flowering,Zinc Sulphate,9.3,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
31.2,32,29.1,62.9,Flowering,Zinc Sulphate,10.7,Improves grain quality and resistance,Prefer organic alternatives where possible.
25.4,27.7,29.6,60.7,Flowering,Zinc Sulphate,10.5,Improves grain quality and resistance,Use split application to reduce leaching.
30.7,26.1,30.2,92.6,Seedling,DAP,20.7,Phosphorus for root development,Ensure soil testing before application.
32.6,62.7,29.8,84.9,Harvest,Organic Compost,15.3,Improves soil structure and moisture retention,Use split application to reduce leaching.
24.3,53.4,26.7,85.9,Tillering,Organic Compost,32.1,Improves soil structure and moisture retention,Use split application to reduce leaching.
30.6,38,32,65.1,Seedling,DAP,21.9,Phosphorus for root development,Prefer organic alternatives where possible.
28.8,66.7,26.2,74.5,Seedling,Urea,24.3,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
32.2,46.6,33.5,76.2,Tillering,Urea,37.5,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
29.6,60.6,32.2,87.9,Seedling,DAP,21.6,Phosphorus for root development,Ensure soil testing before application.
26.4,26.8,31.1,68,Panicle Initiation,DAP,23.7,Phosphorus for root development,Use split application to reduce leaching.
33.4,54.1,29.3,81.8,Tillering,Urea,33.2,Nitrogen boost for vegetative growth,Ensure soil testing before application.
22.2,73.9,31.4,60.4,Harvest,Organic Compost,15.1,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
33.3,59.9,28.4,93.5,Seedling,Urea,24.5,Nitrogen boost for vegetative growth,Ensure soil testing before application.
28.8,37,27.5,90.2,Harvest,Organic Compost,14.2,Improves soil structure and moisture retention,Avoid chemical overuse; combine with compost.
26.2,56.9,32.1,67.1,Panicle Initiation,Urea,20.1,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
30.2,70.8,29.9,75.8,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
27.3,41.8,27.8,82.1,Panicle Initiation,Urea,21,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
30.6,30.2,34.9,87,Panicle Initiation,Urea,21,Nitrogen boost for vegetative growth,Ensure soil testing before application.
27.9,31.2,27.2,81.9,Seedling,Urea,22.8,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
32.1,32.6,26.9,89.9,Panicle Initiation,Urea,20.5,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
30.2,71.6,32.3,76.2,Harvest,Organic Compost,14.7,Improves soil structure and moisture retention,Ensure soil testing before application.
23.8,28.4,34.1,91.2,Tillering,MOP,18.8,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
24.3,40.1,27.5,61.4,Tillering,MOP,21.4,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
24.3,37.8,32,91.4,Harvest,Organic Compost,15.3,Improves soil structure and moisture retention,Ensure soil testing before application.
32.6,40.7,27.4,90.7,Flowering,Zinc Sulphate,9.2,Improves grain quality and resistance,Ensure soil testing before application.
31.1,63,31.2,88.9,Tillering,Urea,33.3,Nitrogen boost for vegetative growth,Ensure soil testing before application.
27.6,42.3,29.1,75.2,Tillering,MOP,20.5,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
31.3,68.7,29.2,87.4,Seedling,Urea,25.4,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
29.8,33.2,26.6,69.8,Tillering,Organic Compost,28.6,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
28.6,57.4,27,76.8,Tillering,Urea,35,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
23,41,33.9,75.8,Harvest,Organic Compost,14.2,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
22.2,31.7,33.8,80.2,Tillering,Organic Compost,27.7,Improves soil structure and moisture retention,Prefer organic alternatives where possible.
32.3,31.3,30.3,89.9,Tillering,MOP,18.6,Potassium for stem and disease resistance,Ensure soil testing before application.
26.6,37.1,28.4,85.9,Panicle Initiation,DAP,26.5,Phosphorus for root development,Ensure soil testing before application.
23.6,48.7,28.9,71.9,Seedling,DAP,18.6,Phosphorus for root development,Use split application to reduce leaching.
31.3,67.3,32.3,85.7,Seedling,DAP,18.3,Phosphorus for root development,Use split application to reduce leaching.
31,38,30.8,85.5,Flowering,Zinc Sulphate,9.4,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
22.7,72.7,34.1,63.9,Harvest,Organic Compost,15.7,Improves soil structure and moisture retention,Use split application to reduce leaching.
25.5,47.2,28.6,90.8,Tillering,Urea,34.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
32.8,49.7,29.9,94.7,Seedling,Urea,23.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
26.3,70.5,33.6,90.8,Harvest,Organic Compost,15.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
30.8,51.9,28.1,62.3,Flowering,MOP,23.7,Potassium for stem and disease resistance,Ensure soil testing before application.
27.8,36.9,28.1,68.8,Panicle Initiation,DAP,22.7,Phosphorus for root development,Use split application to reduce leaching.
24.7,28.3,27.2,91.5,Tillering,Urea,37.4,Nitrogen boost for vegetative growth,Maintain irrigation schedule to avoid fertilizer runoff.
25.1,41.9,30.6,60.8,Tillering,MOP,19.8,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
25.7,65.4,32.7,66.4,Seedling,DAP,20.8,Phosphorus for root development,Ensure soil testing before application.
22.1,41.2,28,81.6,Flowering,Zinc Sulphate,9.1,Improves grain quality and resistance,Maintain irrigation schedule to avoid fertilizer runoff.
30.5,48.3,31.4,91.5,Seedling,Urea,24.9,Nitrogen boost for vegetative growth,Ensure soil testing before application.
22.2,71,26.9,81,Harvest,Organic Compost,16.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
26,51.8,33.5,70.7,Panicle Initiation,DAP,25.4,Phosphorus for root development,Prefer organic alternatives where possible.
24.8,39.7,26.5,68.3,Flowering,MOP,26.7,Potassium for stem and disease resistance,Maintain irrigation schedule to avoid fertilizer runoff.
33.3,71.5,30,79.3,Seedling,DAP,18.4,Phosphorus for root development,Prefer organic alternatives where possible.
25.8,58.5,27.3,94.3,Seedling,DAP,20.1,Phosphorus for root development,Ensure soil testing before application.
28.3,36.4,35.9,63.6,Tillering,Organic Compost,27.6,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
32.8,43.3,32,75.5,Seedling,Urea,25,Nitrogen boost for vegetative growth,Prefer organic alternatives where possible.
31.8,30.9,35.7,93.1,Harvest,Organic Compost,15.4,Improves soil structure and moisture retention,Use split application to reduce leaching.
26.4,49.5,31.7,74,Tillering,MOP,18.8,Potassium for stem and disease resistance,Ensure soil testing before application.
22.5,54.1,28,80.4,Panicle Initiation,Urea,19,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
30.8,57.7,29.4,91.4,Panicle Initiation,Urea,20.1,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
22.1,58.6,29.7,86.1,Flowering,MOP,26.6,Potassium for stem and disease resistance,Avoid chemical overuse; combine with compost.
26,49.6,33,76.9,Tillering,Urea,35,Nitrogen boost for vegetative growth,Use split application to reduce leaching.
28.4,56,34.1,90.6,Tillering,Organic Compost,31.7,Improves soil structure and moisture retention,Ensure soil testing before application.
33.3,73.6,33,80.2,Harvest,Organic Compost,15.1,Improves soil structure and moisture retention,Maintain irrigation schedule to avoid fertilizer runoff.
25.2,46,26.4,91.5,Panicle Initiation,DAP,24.2,Phosphorus for root development,Avoid chemical overuse; combine with compost.
28.9,56.1,32.6,70.9,Panicle Initiation,DAP,26.1,Phosphorus for root development,Use split application to reduce leaching.
22.2,61.7,32.5,84.7,Seedling,DAP,21.5,Phosphorus for root development,Avoid chemical overuse; combine with compost.
25.4,51.6,35.2,90.4,Harvest,Organic Compost,13.6,Improves soil structure and moisture retention,Ensure soil testing before application.
22.1,71.8,26.7,60.4,Flowering,MOP,25.7,Potassium for stem and disease resistance,Prefer organic alternatives where possible.
24.9,59.1,32.7,72.4,Panicle Initiation,DAP,27.1,Phosphorus for root development,Prefer organic alternatives where possible.
22.1,37,33.5,65.2,Seedling,Urea,26.3,Nitrogen boost for vegetative growth,Ensure soil testing before application.
29.4,65.3,27.7,85.7,Flowering,Zinc Sulphate,10.8,Improves grain quality and resistance,Avoid chemical overuse; combine with compost.
28.2,72,35.4,62.5,Panicle Initiation,Urea,18,Nitrogen boost for vegetative growth,Avoid chemical overuse; combine with compost.
